date,value_usd,timestamp,tx_hash,dst_address,balance_at_date,balance_today,balance_at_date_ether,balance_today_ether
2022-02-07 04:04,669.6003546375,1644206646,0x6dbcc55ed29940729b0863aa02d28c88256819125264292ce2a9bab42d10c00c,0x2ecd872798b9850baf21796521b5a33c341f7f89,545792226092325.0,545792226092325.0,0.000545792226092325,0.000545792226092325
2022-02-07 16:36,0.999171206,1644251778,0x7e14b9e195e88938f2b96ebb03138e5b2695a371929496ccfdba2c5b8a6ac6cd,0x039174bb81fa247fb9be25f1559c6612006a4779,0.0,60027270030000.0,0.0,6.002727003e-05
2022-02-09 05:15,30.654698518049997,1644383748,0x057d56e8a95658d54728aa09eb912e20ac67d194ce631d48cb529a45cb73c04c,0x02dde656d513034d4819285137a368f140d5deb5,185842214586000.0,121616584366770.0,0.000185842214586,0.00012161658436677
2022-02-09 23:24,50.0051272,1644449040,0x88a8414d11f2981a1ebff0859101687fe53d4b502f7d008fa5668f191c233b4a,0xdfda0825ec6a7163c9ce15d576225c3f5f663795,1.1859173778791254e+16,726064277349000.0,0.011859173778791254,0.000726064277349
2022-02-10 18:46,0.6183088058892,1644518772,0xe64ff1d7579293b07164efe2f40cc9127a23afae075df1b36e0caf818115cb1e,0xf7abcfa42bf7e7d43d3d53c665ded80fdafb5244,0.0,1.2483677104869434e+16,0.0,0.012483677104869435
2022-02-11 08:12,47.9106848906,1644567156,0xcdbf2a983580fbed1b496a6bbe7fee3a77c24aa7032d503b44949d8bb62dbeae,0x0775ea2a88db33038c4069e41dda8d963b64c2a8,2.5586335324546944e+18,5.222360324062882e+16,2.5586335324546945,0.052223603240628816
2022-02-12 09:50,14.156679891,1644659424,0x782cf7cca5937b44ac0b27cc2df03d417c8fc1a19abc30093b8a7afa1c876bd4,0x0cacc94621ef3cc70bfb5f1279a62369a91b1d83,1.4791803408029933e+17,1.6763618044101584e+16,0.14791803408029933,0.016763618044101584
2022-02-12 10:24,28.82022404,1644661470,0x5eea832212b4ca9b971ea786cb85aa61edbad058affe7f9c4e91125734539a0b,0xe68176a9d8a4323ea3fab649b30e00d0a6a87d15,6.75861208860529e+16,9.632444863377917e+16,0.0675861208860529,0.09632444863377916
2022-02-12 21:21,1.4156679891,1644700908,0x2229c6235a630192517e890c9f43f265922098c19c52f0fb9cbc6e5735faf247,0x0cacc94621ef3cc70bfb5f1279a62369a91b1d83,1.4791803408029933e+17,1.6763618044101584e+16,0.14791803408029933,0.016763618044101584
2022-02-12 21:57,61.998957532,1644703032,0x4b0b06f4dfc327235235b274d38b77fe6cdc584d1b81dc6bfb7a99bb90db7a2d,0xa50b87f8c860f79f2c38f39a0b5f1991ccbd2177,2.4863411807480976e+16,4.161137005666092e+16,0.024863411807480976,0.04161137005666092
2022-02-13 12:11,0.4940859467376,1644754296,0x9a402a03cddd87c646d32b9a39a7b1978c3eef45a8f9808c908cee7493124fee,0x38d2dc6264cf993244d844be673536c029943558,1.241613421431528e+16,1.241613421431528e+16,0.01241613421431528,0.01241613421431528
2022-02-17 20:34,0.000773822380932,1645130088,0xfc58d30da517059364385495b7b3752107aff1b29e19be330f79b1a68b158ed9,0x7a18f907f5364e608a0cb73fed9f80fc5b5fead6,1051086316350830.0,4.567637978600393e+16,0.00105108631635083,0.045676379786003925
2022-02-18 16:07,1.208842478181,1645200474,0xcb8dfaed60014081214ab0343d8ce0e4e2b0fe6bab1ed8e727c3baa89ab0ba1a,0x43f8613ec4b2c8ba62c5525aa04f4dc9ea851838,2.94485128287375e+17,2.8994401594579376e+16,0.294485128287375,0.028994401594579375
2022-02-20 02:17,0.3636580589016,1645323468,0x528a76673b2ab97c977d6096ba59d728866837191dfaeb82ef71627491369c6c,0x42b0947cac26d20265bf74984b21a7ce6e6ea2ff,507938244471000.0,5464625055441603.0,0.000507938244471,0.005464625055441603
2022-02-20 10:26,23.96405675312,1645352766,0x25fa60d360fd2e4d1c4d5ec42bd933525b296cefd336f8004d2fbd23489b1383,0x10a670eb7807e40c31e6caa2b5e3da5b25a7a433,3.993610562900596e+16,1.867329356539794e+16,0.03993610562900596,0.01867329356539794
2022-02-20 13:36,99.9335144,1645364178,0xde22c0feab2fdc956b1e50ccdd0bc40cf7d096bf50c0bc067b584e22073d2b4d,0x3c3028543c9e613f470a20aacd2c9f8018200b0c,7.580282667301437e+16,4.893929905271707e+16,0.07580282667301437,0.04893929905271707
2022-02-21 10:11,2.422736903,1645438314,0x7d40b8635fdf1378ea45e5bc4f912b6ca1ed83400401eb725400a96b25e4f57f,0x467e99717a0f54226454121e6e20dd1549b30d0e,0.0,1000000000000000.0,0.0,0.001
2022-02-21 11:41,5.00351812,1645443702,0xc86823f838e57701dad8c3fef4c786ec3707a1e439f1501fec2823efa02de741,0x3a514667ef4a3df8e7d8cc598788f47616e6ab54,5.767908693192889e+16,2.0110420348871e+16,0.057679086931928886,0.020110420348871
2022-02-21 12:06,62705.809219806,1645445208,0x3921d310b5938c104244cfe5298e1bb98f14451931d16b0885e9ee5b4c1d7e7f,0x1fe9fd1156688699f4ca017e72ee0d9873f9d758,2.668423808852599e+20,5.155645475879545e+16,266.8423808852599,0.051556454758795445
2022-02-21 17:59,13.700613787399998,1645466370,0x49ad7b495c229c5b31a332991cef6af514b0704124a4087b72250eefa978e219,0x5dc4f6d286a16dcf35c90eb73b46f637619d842d,0.0,3.7187172942909555e+17,0.0,0.3718717294290956
